,Treinamento,Etiquetas,Classificado
0,"@caos__0 eu no valorant :v
fon",2,Irrelevante
1,o cara q pra mim é o melhor player de valorant do mundo joga osu,2,Irrelevante
2,mano algm upa meu passe no valorant na humildade,2,Irrelevante
3,"deletei o valorant, agora meu pc volta a ligar em 3 segundos",1,Relevante
4,quem tiver pc baixa valorant nessa porr que eu tô no ódio e vai ser o dia todo só isso,1,Relevante
5,voltei a jogar valorant so por causa do mata mata,1,Relevante
6,viciei em valorant esse é o tweet,1,Relevante
7,"@zncabral_ free fire fez mais sucesso que o valorant só no brasil, no resto do mundo quase ngm joga isso",1,Relevante
8,"alguem me explica o motivo das 12 do valorant (menos a shorty) atirar tão bem de longe???? tipo, comparando com cs e fortnite não faz sentido os cara vai de bucky atacando vai se fuder",1,Relevante
9,rt @leozjn: o matchmaking do valorant n faz o minimo sentido,1,Relevante
10,vou ter que parar de jogar valorant pq tô começando a apresentar aqueles sintomas q aparecem quando o jogo tá abrindo )):,1,Relevante
11,jogar valorant 9 da manhã pra discutir com criança que tá matando aula remota,2,Irrelevante
12,"riot é a empresa mais arrombada que existe, script não toma ban, hack no valorant não toma ban xd",1,Relevante
13,"o cúmulo do tédio é fazer o parkour do treino do valorant

pelo menos eu conclui",2,Irrelevante
14,só vou entrar no valorant quando eu fazer meu resumo,2,Irrelevante
15,"@egidiax uffa, desculpa, mas geralmente quando leio isso é de ff, drx, eu só jogo codm, vou pesquisar esse valorant que não conheço kk",2,Irrelevante
16,ah beleza fui jogar valorant hj e deu erro e dps tela azul  -.-,2,Irrelevante
17,esse valorant ta de sacanagem mano,1,Relevante
18,[eu/pc] valorant solo que competitive  https://t.co/7zju1fnljx,2,Irrelevante
19,jogar contra awp no valorant é a coisa mais broxante do mundo n da,1,Relevante
20,⚠️ a @teampiratees está à procura de uma equipa de @valorant_pt https://t.co/ytjmj4obtz,2,Irrelevante
21,"melhor parte de ficar um tempo sem jogar é q quando tu volta, tu volta dando aulas, brinquei hj no cs e no valorant",1,Relevante
